0	20	78	130
1	59	-1,7333	91
2	56,9903	25,0391	93,0097
3	56,833	30,3294	93,167
4	60,5833	34,2116	89,4167
5	65,9416	38,8329	84,0584
6	72,6814	43,0721	77,3186
7	79,4514	47,5345	70,5486
8	84,3348	52,6928	65,6652
9	88,3877	57,0804	61,6123
10	92,3622	60,8296	57,6378
11	95,6872	64,6644	54,3128
12	97,7075	68,7356	52,2925
13	100,512	71,5491	49,4879
14	102,688	74,9452	47,3122
15	105,126	77,7243	44,874
16	106,863	80,8931	43,1375
17	108,993	83,3589	41,0071
18	110,349	86,3442	39,6508
19	112,44	88,411	37,5597
20	113,527	91,3085	36,4729
21	115,147	93,3113	34,8527
22	116,593	95,5774	33,4069
23	117,573	97,9396	32,4271
24	119,449	99,4654	30,5506
25	120,539	101,787	29,4612
26	121,056	103,985	28,9439
27	122,67	105,205	27,3296
28	123,828	107,139	26,172
29	124,23	109,222	25,77
30	125,334	110,478	24,6663
31	126,892	111,74	23,1079
32	127,532	113,675	22,4676
33	127,526	115,497	22,4742
34	128,622	116,335	21,3783
35	130,207	117,357	19,7931
36	130,935	119,032	19,0649
37	130,663	120,83	19,337
38	130,903	121,839	19,0966
39	132,564	122,236	17,4356
40	134,023	123,354	15,9771
41	134,334	124,961	15,6657
42	133,578	126,615	16,4221
43	133,402	127,437	16,5976
44	135,077	127,451	14,9227
45	137,006	128,126	12,9942
46	137,697	129,542	12,3034
47	137,085	131,075	12,9153
48	135,925	132,326	14,0751
49	135,932	132,68	14,0678
50	137,793	132,505	12,2075
51	139,708	133,1	10,2919
52	140,069	134,527	9,93087
53	139,475	135,726	10,5246
54	138,937	136,454	11,0632
55	138,779	137,017	11,2207
56	139,236	137,412	10,7639
57	140,065	137,861	9,93536
58	140,777	138,51	9,22343
59	141,188	139,234	8,81228
60	141,58	139,792	8,42008
61	142,129	140,22	7,87109
62	142,582	140,748	7,41813
63	142,71	141,392	7,28985
64	142,545	142,041	7,45542
65	142,273	142,618	7,7265
66	142,156	143,068	7,84413
67	142,37	143,404	7,63011
68	142,847	143,733	7,15328
69	143,324	144,163	6,67647
70	143,635	144,659	6,3649
71	143,897	145,082	6,1028
72	144,302	145,377	5,69774
73	144,788	145,668	5,21242
74	145,121	146,058	4,87928
75	145,235	146,482	4,7648
76	145,266	146,838	4,73429
77	145,319	147,137	4,68064
78	145,395	147,43	4,60522
79	145,446	147,745	4,55443
80	145,44	148,077	4,55956
81	145,394	148,406	4,60647
82	145,357	148,712	4,64329
83	145,384	148,987	4,61609
84	145,492	149,243	4,50816
85	145,65	149,503	4,34993
86	145,814	149,774	4,18591
87	145,971	150,04	4,02874
88	146,149	150,281	3,85139
89	146,37	150,494	3,63039
90	146,612	150,701	3,38767
91	146,83	150,918	3,1703
92	147,008	151,131	2,9922
93	147,177	151,318	2,8226
94	147,361	151,481	2,63913
95	147,536	151,643	2,46401
96	147,67	151,814	2,32969
97	147,768	151,978	2,23195
98	147,86	152,121	2,14011
99	147,959	152,25	2,04094
100	148,05	152,381	1,95
101	148,115	152,517	1,88453
102	148,158	152,65	1,84179
103	148,194	152,773	1,80612
104	148,232	152,888	1,76762
105	148,271	153,002	1,72924
106	148,301	153,118	1,69947
107	148,318	153,236	1,68235
108	148,326	153,352	1,6744
109	148,331	153,465	1,66893
110	148,338	153,574	1,66191
111	148,346	153,684	1,65411
112	148,351	153,795	1,64892
113	148,352	153,907	1,64849
114	148,348	154,019	1,65173
115	148,345	154,13	1,65528
116	148,344	154,239	1,65613
117	148,346	154,348	1,65352
118	148,351	154,456	1,64869
119	148,357	154,565	1,64304
120	148,363	154,674	1,6365
121	148,373	154,78	1,62736
122	148,386	154,885	1,61367
123	148,405	154,988	1,59468
124	148,429	155,09	1,57118
125	148,456	155,191	1,54442
126	148,485	155,289	1,51487
127	148,518	155,385	1,48189
128	148,555	155,478	1,44474
129	148,596	155,568	1,40357
130	148,64	155,656	1,35952
131	148,686	155,741	1,31378
132	148,733	155,823	1,26673
133	148,782	155,902	1,21814
134	148,832	155,978	1,16801
135	148,883	156,05	1,11711
136	148,934	156,12	1,06647
137	148,983	156,186	1,01659
138	149,033	156,249	0,967318
139	149,081	156,309	0,918519
140	149,129	156,366	0,870644
141	149,176	156,42	0,824398
142	149,22	156,472	0,780033
143	149,263	156,52	0,737249
144	149,304	156,566	0,695808
145	149,344	156,609	0,655984
146	149,382	156,65	0,618232
147	149,417	156,689	0,582568
148	149,451	156,725	0,548575
149	149,484	156,759	0,516001
150	149,515	156,759	0,516001
